"SEQN","indice_pobreza","indice_pobreza_cat"
74399,0.96,"pobreza"
74400,5,"medio_alto"
74401,1.82,"bajo_ingreso"
74402,1.75,"bajo_ingreso"
74403,1.86,"medio_alto"
74408,1.21,"pobreza"
74411,4.18,"medio_alto"
74412,1.96,"medio_alto"
74413,1.5,"bajo_ingreso"
74417,2.29,"medio_alto"
74418,1.82,"bajo_ingreso"
74419,NA,NA
74421,0,"pobreza"
74422,0.31,"pobreza"
74424,3.99,"medio_alto"
74425,1.91,"medio_alto"
74432,NA,NA
74433,2.15,"medio_alto"
74434,0.44,"pobreza"
74435,1.27,"pobreza"
74436,1.61,"bajo_ingreso"
74437,2.87,"medio_alto"
74440,3.06,"medio_alto"
74442,NA,"medio_alto"
74445,3.02,"medio_alto"
74446,5,"medio_alto"
74449,3.64,"medio_alto"
74451,0.78,"pobreza"
74454,3.05,"medio_alto"
74455,1.13,"pobreza"
74459,0,"pobreza"
74460,4.18,"medio_alto"
74462,2.16,"medio_alto"
74463,3.99,"medio_alto"
74464,0.08,"pobreza"
74465,1.24,"pobreza"
74466,1.01,"pobreza"
74473,1.11,"pobreza"
74476,1.51,"bajo_ingreso"
74479,3.07,"medio_alto"
74480,0.4,"pobreza"
74481,NA,NA
74486,2.02,"medio_alto"
74487,2.63,"medio_alto"
74489,5,"medio_alto"
74490,3.87,"medio_alto"
74493,1.72,"bajo_ingreso"
74498,1.63,"bajo_ingreso"
74499,1.15,"pobreza"
74502,1.03,"pobreza"
74503,1.07,"pobreza"
74504,0.91,"pobreza"
74505,3,"medio_alto"
74508,5,"medio_alto"
74509,1.02,"pobreza"
74510,5,"medio_alto"
74511,3.48,"medio_alto"
74512,1.53,"bajo_ingreso"
74521,0.2,"pobreza"
74523,3.87,"medio_alto"
74524,0.35,"pobreza"
74526,3.95,"medio_alto"
74529,1.02,"pobreza"
74530,1.13,"pobreza"
74531,0.82,"pobreza"
74532,0.7,"pobreza"
74534,1.27,"pobreza"
74536,2.32,"medio_alto"
74537,0.77,"pobreza"
74538,3.09,"medio_alto"
74539,2.52,"medio_alto"
74542,0.24,"pobreza"
74543,4.52,"medio_alto"
74546,0.56,"pobreza"
74547,1.55,"bajo_ingreso"
74548,0.17,"pobreza"
74549,3.07,"medio_alto"
74551,5,"medio_alto"
74552,0.61,"pobreza"
74554,0.49,"pobreza"
74556,0.36,"pobreza"
74557,1.12,"pobreza"
74559,3.52,"medio_alto"
74560,0.69,"pobreza"
74562,2.61,"medio_alto"
74563,1.27,"pobreza"
74564,1.52,"bajo_ingreso"
74565,NA,NA
74566,0.8,"pobreza"
74567,1.47,"bajo_ingreso"
74570,2.29,"medio_alto"
74571,5,"medio_alto"
74574,1.41,"bajo_ingreso"
74576,1.21,"pobreza"
74579,0.52,"pobreza"
74581,1.01,"pobreza"
74582,1.5,"bajo_ingreso"
74583,0.97,"pobreza"
74586,1.33,"bajo_ingreso"
74587,0.38,"pobreza"
74588,1.54,"bajo_ingreso"
74589,0.76,"pobreza"
74590,NA,NA
74591,1.53,"bajo_ingreso"
74594,2.32,"medio_alto"
74596,0.61,"pobreza"
74598,3.59,"medio_alto"
74600,5,"medio_alto"
74601,0.6,"pobreza"
74602,3.06,"medio_alto"
74605,5,"medio_alto"
74607,NA,NA
74609,4.18,"medio_alto"
74611,3.87,"medio_alto"
74612,NA,"medio_alto"
74613,0.93,"pobreza"
74616,0.84,"pobreza"
74619,2.82,"medio_alto"
74623,1.26,"pobreza"
74624,0,"pobreza"
74627,5,"medio_alto"
74628,NA,NA
74630,0.04,"pobreza"
74631,0.91,"pobreza"
74632,4.13,"medio_alto"
74633,3.81,"medio_alto"
74636,5,"medio_alto"
74638,4.58,"medio_alto"
74639,1.23,"pobreza"
74641,4.58,"medio_alto"
74642,1.51,"bajo_ingreso"
74644,NA,NA
74645,3.83,"medio_alto"
74646,0,"pobreza"
74650,1.09,"pobreza"
74652,1.08,"pobreza"
74653,0.17,"pobreza"
74654,0.19,"pobreza"
74655,4.11,"medio_alto"
74656,5,"medio_alto"
74660,1.04,"pobreza"
74661,1.29,"pobreza"
74663,1.75,"bajo_ingreso"
74668,1.85,"bajo_ingreso"
74669,4.03,"medio_alto"
74670,1.67,"bajo_ingreso"
74673,1.93,"medio_alto"
74674,0.93,"pobreza"
74675,5,"medio_alto"
74678,0.86,"pobreza"
74679,NA,"pobreza"
74680,1.53,"bajo_ingreso"
74683,1.7,"bajo_ingreso"
74685,0.85,"pobreza"
74686,2.18,"medio_alto"
74689,NA,"medio_alto"
74692,1.25,"pobreza"
74693,0.77,"pobreza"
74694,NA,NA
74695,0.61,"pobreza"
74696,3.03,"medio_alto"
74697,0.52,"pobreza"
74698,2.5,"medio_alto"
74702,5,"medio_alto"
74703,0.49,"pobreza"
74704,1.08,"pobreza"
74705,5,"medio_alto"
74707,1.02,"pobreza"
74708,4.85,"medio_alto"
74709,0,"pobreza"
74711,0.75,"pobreza"
74714,1.03,"pobreza"
74717,NA,"bajo_ingreso"
74718,2.43,"medio_alto"
74719,1.72,"bajo_ingreso"
74721,1.84,"bajo_ingreso"
74723,4.05,"medio_alto"
74725,1.14,"pobreza"
74728,1.27,"pobreza"
74731,1.6,"bajo_ingreso"
74732,4.58,"medio_alto"
74733,5,"medio_alto"
74734,1.51,"bajo_ingreso"
74737,2.67,"medio_alto"
74741,4.92,"medio_alto"
74742,5,"medio_alto"
74743,1.52,"bajo_ingreso"
74744,1.58,"bajo_ingreso"
74745,2.21,"medio_alto"
74746,1.27,"pobreza"
74747,0.92,"pobreza"
74748,1.03,"pobreza"
74751,1.54,"bajo_ingreso"
74756,0.91,"pobreza"
74760,0.65,"pobreza"
74763,1.09,"pobreza"
74764,0.43,"pobreza"
74765,2.29,"medio_alto"
74766,0.84,"pobreza"
74769,5,"medio_alto"
74772,NA,"medio_alto"
74773,0.69,"pobreza"
74774,0.92,"pobreza"
74776,1.72,"bajo_ingreso"
74778,1.84,"bajo_ingreso"
74779,NA,NA
74781,1.51,"bajo_ingreso"
74782,3.05,"medio_alto"
74784,1.67,"bajo_ingreso"
74787,1.09,"pobreza"
74791,NA,NA
74794,4.59,"medio_alto"
74797,2.26,"medio_alto"
74800,0.5,"pobreza"
74801,0.86,"pobreza"
74802,NA,"medio_alto"
74803,1.37,"bajo_ingreso"
74804,NA,NA
74807,NA,"pobreza"
74812,0.73,"pobreza"
74814,0.61,"pobreza"
74815,2.61,"medio_alto"
74817,3.14,"medio_alto"
74818,5,"medio_alto"
74822,5,"medio_alto"
74823,NA,"bajo_ingreso"
74824,5,"medio_alto"
74826,5,"medio_alto"
74831,5,"medio_alto"
74832,5,"medio_alto"
74837,0.88,"pobreza"
74839,5,"medio_alto"
74841,NA,NA
74843,0.61,"pobreza"
74844,1.46,"bajo_ingreso"
74845,2.18,"medio_alto"
74851,1.65,"bajo_ingreso"
74854,0.6,"pobreza"
74859,1.6,"bajo_ingreso"
74860,1.96,"medio_alto"
74861,0.36,"pobreza"
74862,0.76,"pobreza"
74865,NA,"medio_alto"
74866,0.75,"pobreza"
74867,5,"medio_alto"
74869,1.57,"bajo_ingreso"
74872,0,"pobreza"
74874,3.77,"medio_alto"
74878,3.87,"medio_alto"
74879,5,"medio_alto"
74880,1.08,"pobreza"
74882,1.93,"medio_alto"
74883,3.81,"medio_alto"
74885,0.6,"pobreza"
74886,1.13,"pobreza"
74889,3.03,"medio_alto"
74890,0.67,"pobreza"
74893,5,"medio_alto"
74897,0.87,"pobreza"
74900,0.99,"pobreza"
74901,1.55,"bajo_ingreso"
74902,0.88,"pobreza"
74904,1.27,"pobreza"
74905,5,"medio_alto"
74907,NA,"medio_alto"
74909,1.03,"pobreza"
74910,0.55,"pobreza"
74916,0,"pobreza"
74918,1.71,"bajo_ingreso"
74919,5,"medio_alto"
74923,1.55,"bajo_ingreso"
74925,2.26,"medio_alto"
74928,2.24,"medio_alto"
74929,2.4,"medio_alto"
74931,NA,"medio_alto"
74932,NA,NA
74933,2.52,"medio_alto"
74935,NA,NA
74936,3.27,"medio_alto"
74937,5,"medio_alto"
74938,5,"medio_alto"
74940,0.86,"pobreza"
74941,1.34,"bajo_ingreso"
74942,3.48,"medio_alto"
74943,0.86,"pobreza"
74945,1.88,"medio_alto"
74946,0.73,"pobreza"
74948,1.94,"medio_alto"
74950,0.36,"pobreza"
74951,NA,"medio_alto"
74953,5,"medio_alto"
74954,3.52,"medio_alto"
74958,0.61,"pobreza"
74960,0.93,"pobreza"
74963,0.65,"pobreza"
74965,NA,NA
74969,0.64,"pobreza"
74971,3.33,"medio_alto"
74972,4.73,"medio_alto"
74974,3.26,"medio_alto"
74977,5,"medio_alto"
74978,1.9,"medio_alto"
74979,0.73,"pobreza"
74981,NA,"pobreza"
74982,1.24,"pobreza"
74983,0.74,"pobreza"
74984,NA,NA
74985,1.15,"pobreza"
74989,2.47,"medio_alto"
74990,1.34,"bajo_ingreso"
74996,5,"medio_alto"
74997,0.99,"pobreza"
74998,0.67,"pobreza"
75000,0.56,"pobreza"
75002,1.07,"pobreza"
75003,1.09,"pobreza"
75004,3.09,"medio_alto"
75007,1.51,"bajo_ingreso"
75010,NA,NA
75011,3.87,"medio_alto"
75012,5,"medio_alto"
75013,1.03,"pobreza"
75016,0.89,"pobreza"
75017,1.33,"bajo_ingreso"
75018,1.84,"bajo_ingreso"
75020,1.66,"bajo_ingreso"
75023,NA,"medio_alto"
75027,4.3,"medio_alto"
75029,NA,NA
75030,0.73,"pobreza"
75032,1.65,"bajo_ingreso"
75034,2.55,"medio_alto"
75042,NA,"bajo_ingreso"
75044,4.3,"medio_alto"
75047,0.74,"pobreza"
75049,NA,NA
75056,0.51,"pobreza"
75057,2.63,"medio_alto"
75058,5,"medio_alto"
75060,2.28,"medio_alto"
75061,5,"medio_alto"
75063,1.46,"bajo_ingreso"
75064,NA,NA
75065,5,"medio_alto"
75066,5,"medio_alto"
75068,1.23,"pobreza"
75070,1.32,"bajo_ingreso"
75071,1.27,"pobreza"
75075,5,"medio_alto"
75076,3.07,"medio_alto"
75078,1.21,"pobreza"
75081,NA,NA
75084,0,"pobreza"
75085,1.25,"pobreza"
75088,1.84,"bajo_ingreso"
75089,3.48,"medio_alto"
75090,1.02,"pobreza"
75092,0.67,"pobreza"
75093,1.16,"pobreza"
75097,3.94,"medio_alto"
75098,2.15,"medio_alto"
75099,5,"medio_alto"
75103,0.41,"pobreza"
75104,2.06,"medio_alto"
75105,5,"medio_alto"
75108,4.58,"medio_alto"
75109,2.09,"medio_alto"
75111,5,"medio_alto"
75112,2.15,"medio_alto"
75114,4.33,"medio_alto"
75117,1.03,"pobreza"
75118,3.3,"medio_alto"
75121,NA,NA
75123,3.55,"medio_alto"
75124,5,"medio_alto"
75125,0.18,"pobreza"
75127,5,"medio_alto"
75128,2.61,"medio_alto"
75129,2.82,"medio_alto"
75131,5,"medio_alto"
75132,4.3,"medio_alto"
75134,0.67,"pobreza"
75136,3.09,"medio_alto"
75137,0.57,"pobreza"
75139,0,"pobreza"
75140,0.49,"pobreza"
75146,NA,"medio_alto"
75147,1.52,"bajo_ingreso"
75149,0.69,"pobreza"
75150,4.64,"medio_alto"
75151,1.54,"bajo_ingreso"
75154,1.55,"bajo_ingreso"
